strain	stress	trans
0.1142	71.0117	0.2576
0.1147	71.2062	0.2576
0.1153	71.2062	0.2576
0.1158	71.2062	0.2567
0.1163	71.2062	0.2567
0.1168	71.2062	0.2557
0.1174	71.2062	0.2557
0.1179	71.2062	0.2557
0.1184	71.2062	0.2548
0.1189	71.2062	0.2548
0.1194	71.2062	0.2548
0.12	71.2062	0.2548
0.1205	71.0117	0.2539
0.121	71.0117	0.2539
0.1215	71.0117	0.2539
0.1221	71.0117	0.2539
0.1226	71.0117	0.2539
0.1231	71.0117	0.2539
0.1236	71.0117	0.253
0.1242	71.0117	0.253
0.1247	71.0117	0.253
0.1252	71.0117	0.253
0.1257	71.0117	0.253
0.1263	71.0117	0.253
0.1268	71.0117	0.253
0.1273	71.0117	0.253
0.1278	71.0117	0.253
0.1284	71.0117	0.253
0.1289	71.0117	0.253
0.1294	71.0117	0.253
0.1299	71.0117	0.2521
0.1305	71.2062	0.2521
0.131	71.2062	0.2521
0.1315	71.2062	0.2521
0.132	71.2062	0.2521
0.1325	71.2062	0.2521
0.1331	71.2062	0.2521
0.1336	71.4008	0.2521
0.1341	71.4008	0.2511
0.1346	71.4008	0.2511
0.1352	71.4008	0.2511
0.1357	71.4008	0.2511
0.1362	71.5953	0.2511
0.1367	71.5953	0.2511
0.1373	71.5953	0.2511
0.1378	71.5953	0.2511
0.1383	71.7899	0.2502
0.1388	71.7899	0.2502
0.1394	71.7899	0.2502
0.1399	71.7899	0.2502
0.1404	71.9844	0.2502
0.1409	71.9844	0.2502
0.1415	71.9844	0.2493
0.142	72.179	0.2493
0.1425	72.179	0.2493
0.143	72.3735	0.2493
0.1435	72.3735	0.2493
0.1441	72.3735	0.2484
0.1446	72.5681	0.2484
0.1451	72.5681	0.2484
0.1456	72.5681	0.2484
0.1461	72.7626	0.2474
0.1467	72.7626	0.2474
0.1472	72.9572	0.2474
0.1477	72.9572	0.2474
0.1482	73.1518	0.2465
0.1488	73.1518	0.2465
0.1493	73.3463	0.2465
0.1498	73.3463	0.2465
0.1504	73.5409	0.2456
