Density, E_angle, E_bond, E_dihed, E_impro, E_vdwl, KinEng, Lx, Ly, Lz, PotEng, Press, Step, Temp, TotEng, Volume, f_avd, f_sxx_ave, f_syy_ave, f_szz_ave, v_Time, v_sxx, v_syy, v_szz
1.1397328, 44148.476, 9057.472, -4405.0801, 300.66359, -3189.9833, 18722.818, 60.481836, 58.705382, 59.311722, 44730.691, 435.65671, 40000, 298.26285, 63453.509, 210592.75, 1.1376305, -5.8582477, 8.7725083, 4.5372459, 20, 27.551394, -125.09972, -34.880425
1.1362696, 44017.411, 9070.3024, -4339.6051, 280.42878, -3150.9982, 18976.634, 60.60289, 58.83015, 59.24774, 44685.55, -709.9429, 42000, 302.30625, 63662.184, 211234.61, 1.1402891, 10.138141, -2.5334438, -5.1749421, 21, 113.45402, 151.20203, -48.851153
1.14098, 44139.45, 8994.9066, -4575.409, 270.33007, -3146.2033, 18825.899, 60.566454, 58.63294, 59.237212, 44477.525, 259.74171, 44000, 299.90498, 63303.424, 210362.55, 1.1408308, -7.6604271, -2.572284, 4.6528156, 22, -24.601539, -44.415963, -9.9374845
1.1351541, 44147, 8934.5998, -4322.0376, 314.77928, -3043.268, 18927.452, 61.133877, 58.706883, 58.914291, 44825.967, -146.09796, 46000, 301.52276, 63753.419, 211442.18, 1.139649, 5.152179, 2.1940363, -11.898332, 23, 30.468297, 107.30196, -93.360127
1.1404763, 44049.507, 8996.1788, -4355.7772, 281.92421, -3138.0956, 18741.77, 60.745556, 58.402795, 59.321489, 44610.845, -848.37684, 48000, 298.56477, 63352.615, 210455.45, 1.1379686, 4.7498395, -2.7914747, 4.3319697, 24, 171.58733, 22.995084, 63.302936
1.1453457, 44131.694, 8990.7535, -4418.295, 276.72505, -3209.9169, 19005.879, 60.844887, 58.592041, 58.782379, 44556.184, 321.79595, 50000, 302.77214, 63562.063, 209560.72, 1.1415486, -3.5738762, -0.026475347, 8.2527835, 25, -120.1495, 63.063615, -40.732043
1.1442631, 44029.86, 9133.16, -4463.8491, 280.63902, -3167.464, 18901.951, 60.992648, 58.470338, 58.817621, 44624.043, -59.319603, 52000, 301.11652, 63525.994, 209758.98, 1.144653, 1.234268, 2.964565, -1.3364195, 26, 112.30876, -33.181382, -61.095706
1.1473825, 44060.152, 8905.275, -4260.0404, 261.45131, -3190.5068, 18711.066, 60.727797, 58.507139, 58.876483, 44542.495, -320.85729, 54000, 298.07564, 63253.562, 209188.72, 1.1468376, 1.3041272, -3.0447504, 0.7841469, 27, -7.2063498, 10.03579, 94.703153
1.1498821, 44041.647, 9009.1997, -4284.6233, 289.79889, -3349.6252, 18868.582, 60.810478, 58.338843, 58.837865, 44523.695, -161.18837, 56000, 300.58494, 63392.277, 208733.97, 1.1487175, -8.8946796, -3.842531, -3.5124102, 28, -60.094667, -5.4106402, 114.50254
1.1475315, 44022.186, 9013.9866, -4294.166, 306.68992, -3198.0267, 18915.399, 60.55806, 58.517798, 59.023087, 44611.349, 66.398487, 58000, 301.33076, 63526.748, 209161.55, 1.1459812, 9.3080387, 2.9302734, 3.723557, 29, -30.752417, 69.011464, -58.442527
1.1471277, 44037.304, 8884.6911, -4280.6011, 266.91358, -3228.5478, 18789.017, 60.598712, 58.271479, 59.253668, 44475.491, -443.34773, 60000, 299.31743, 63264.508, 209235.17, 1.1481975, 0.51870295, 0.80088733, -0.31389896, 30, 93.461253, 47.517457, -6.2120841
1.1480144, 44133.923, 8933.6232, -4407.8222, 277.40272, -3210.9977, 18884.488, 60.260164, 58.240347, 59.572365, 44500.857, -1008.5807, 62000, 300.83833, 63385.345, 209073.55, 1.1493094, -8.1465083, -4.3723055, 0.52524457, 31, 24.45239, 158.22096, 123.90996
1.1484481, 44143.503, 9064.9993, -4531.3742, 298.62221, -3272.4407, 18766.556, 60.326054, 58.458395, 59.262949, 44464.002, 613.83421, 64000, 298.95962, 63230.558, 208994.6, 1.1473216, -3.1527439, -1.2952834, 7.6496946, 32, -71.657391, -24.306446, -90.626417
1.1486711, 44095.843, 8878.0251, -4459.9735, 270.7987, -3276.2092, 18747.712, 60.563596, 58.542864, 58.933895, 44276.139, -258.00034, 66000, 298.65943, 63023.851, 208954.04, 1.1469083, 4.6787882, 3.7559082, -4.3961521, 33, 8.28437, 103.61517, -33.47389
1.1525397, 44125.999, 9241.9417, -4566.8826, 297.82675, -3220.6533, 18743.592, 60.282431, 58.138541, 59.420412, 44652.709, 679.86054, 68000, 298.59379, 63396.301, 208252.66, 1.1510035, -4.6292553, 1.4158223, -3.1556104, 34, -147.89139, -12.276924, -46.49229
1.1499232, 44037.664, 9062.9219, -4361.3545, 289.58028, -3238.0449, 18675.904, 60.418464, 58.041747, 59.520623, 44568.341, 134.16038, 70000, 297.5155, 63244.245, 208726.52, 1.1493904, 1.3063879, -7.7695769, 0.88779512, 35, -33.078327, -1.3469212, -6.3561531
1.1555926, 44013.584, 9029.0714, -4293.889, 276.79965, -3309.965, 18805.872, 60.277971, 58.065432, 59.342444, 44479.947, 54.753983, 72000, 299.58594, 63285.819, 207702.5, 1.149298, -1.2520447, -0.34265647, 3.2447642, 36, 58.247331, -30.843831, -44.047342
1.1521056, 44147.569, 8907.4233, -4312.7219, 303.48323, -3306.8892, 18924.685, 60.327473, 58.107086, 59.430575, 44537.436, -697.46112, 74000, 301.47869, 63462.121, 208331.13, 1.1524607, -1.4936958, 5.6674584, 1.6324783, 37, 47.168631, 110.93922, 53.902889
1.1503565, 44238.372, 8899.9617, -4375.4578, 295.10126, -3378.2438, 18840.027, 60.722061, 58.199373, 59.040386, 44475.132, 209.33236, 76000, 300.13004, 63315.159, 208647.89, 1.1522666, 5.2246096, -3.406364, -6.1831735, 38, -65.0482, 35.162713, -33.746317
1.1554222, 44247.142, 9065.8111, -4516.7868, 269.06985, -3314.2604, 18899.175, 60.100997, 58.457919, 59.126302, 44532.092, -167.24981, 78000, 301.0723, 63431.267, 207733.12, 1.1516852, -1.7071295, -0.61467484, -1.7628643, 39, 43.327537, -20.824883, 28.337106
1.1562546, 43934.292, 8929.8005, -4413.998, 283.44062, -3250.1742, 18726.435, 59.862666, 58.73026, 59.043898, 44266.595, 1007.4442, 80000, 298.32047, 62993.029, 207583.58, 1.1525953, 2.3015448, 3.6907962, 0.58846961, 40, -173.50583, -64.274202, -68.457802
